STATUS | wrapper  | 2018/03/30 14:29:44 | --> Wrapper Started as Console
INFO   | jvm 1    | 2018/03/30 14:29:46 | MyCAT Server startup successfully. see logs in logs/mycat.log
INFO   | jvm 1    | 2018/03/30 14:32:41 | 2018-03-30 14:32:41,228 [INFO ][$_NIOREACTOR-0-RW] ServerConnection [id=1, schema=null, host=60.63.136.248, user=mysql,txIsolation=3, autocommit=true, schema=null]'mysql' login success  (io.mycat.net.handler.FrontendAuthenticator:FrontendAuthenticator.java:194) 
INFO   | jvm 1    | 2018/03/30 14:32:41 | 2018-03-30 14:32:41,855 [INFO ][$_NIOREACTOR-0-RW] close connection,reason:quit cmd ,ServerConnection [id=1, schema=null, host=60.63.136.248, user=mysql,txIsolation=3, autocommit=true, schema=null]  (io.mycat.net.AbstractConnection:AbstractConnection.java:508) 
INFO   | jvm 1    | 2018/03/30 14:32:43 | 2018-03-30 14:32:43,816 [INFO ][$_NIOREACTOR-1-RW] ServerConnection [id=2, schema=null, host=60.63.136.248, user=mysql,txIsolation=3, autocommit=true, schema=null]'mysql' login success  (io.mycat.net.handler.FrontendAuthenticator:FrontendAuthenticator.java:194) 
INFO   | jvm 1    | 2018/03/30 14:32:44 | 2018-03-30 14:32:44,778 [INFO ][$_NIOREACTOR-0-RW] ServerConnection [id=3, schema=null, host=60.63.136.248, user=mysql,txIsolation=3, autocommit=true, schema=null]'mysql' login success  (io.mycat.net.handler.FrontendAuthenticator:FrontendAuthenticator.java:194) 
INFO   | jvm 1    | 2018/03/30 14:32:46 | 2018-03-30 14:32:46,335 [INFO ][$_NIOREACTOR-1-RW] ServerConnection [id=4, schema=null, host=60.63.136.248, user=mysql,txIsolation=3, autocommit=true, schema=null]'mysql' login success  (io.mycat.net.handler.FrontendAuthenticator:FrontendAuthenticator.java:194) 
INFO   | jvm 1    | 2018/03/30 14:32:55 | 2018-03-30 14:32:55,711 [INFO ][$_NIOREACTOR-1-RW] close connection,reason:quit cmd ,ServerConnection [id=4, schema=ias, host=60.63.136.248, user=mysql,txIsolation=3, autocommit=true, schema=ias]  (io.mycat.net.AbstractConnection:AbstractConnection.java:508) 
INFO   | jvm 1    | 2018/03/30 14:33:49 | 2018-03-30 14:33:49,173 [INFO ][$_NIOREACTOR-0-RW] ServerConnection [id=5, schema=null, host=60.63.136.248, user=mysql,txIsolation=3, autocommit=true, schema=null]'mysql' login success  (io.mycat.net.handler.FrontendAuthenticator:FrontendAuthenticator.java:194) 
INFO   | jvm 1    | 2018/03/30 14:33:55 | 2018-03-30 14:33:55,190 [INFO ][$_NIOREACTOR-1-RW] ServerConnection [id=6, schema=null, host=60.63.136.248, user=mysql,txIsolation=3, autocommit=true, schema=null]'mysql' login success  (io.mycat.net.handler.FrontendAuthenticator:FrontendAuthenticator.java:194) 
INFO   | jvm 1    | 2018/03/30 14:33:55 | 2018-03-30 14:33:55,687 [WARN ][$_NIOREACTOR-1-RW]  find no Route:SELECT * FROM `ias`.`t_user` LIMIT 0  (io.mycat.route.parser.druid.impl.DruidSelectParser:DruidSelectParser.java:436) 
INFO   | jvm 1    | 2018/03/30 14:33:55 | 2018-03-30 14:33:55,696 [WARN ][$_NIOREACTOR-1-RW] ServerConnection [id=6, schema=ias, host=60.63.136.248, user=mysql,txIsolation=3, autocommit=true, schema=ias]SELECT * FROM `ias`.`t_user` LIMIT 0 err:java.sql.SQLNonTransientException:  find no Route:SELECT * FROM `ias`.`t_user` LIMIT 0 java.sql.SQLNonTransientException:  find no Route:SELECT * FROM `ias`.`t_user` LIMIT 0
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.route.parser.druid.impl.DruidSelectParser.tryRoute(DruidSelectParser.java:437)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.route.parser.druid.impl.DruidSelectParser.changeSql(DruidSelectParser.java:287)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.route.parser.druid.impl.DefaultDruidParser.parser(DefaultDruidParser.java:67)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.route.impl.DruidMycatRouteStrategy.routeNormalSqlWithAST(DruidMycatRouteStrategy.java:84)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.route.impl.AbstractRouteStrategy.route(AbstractRouteStrategy.java:81)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.route.RouteService.route(RouteService.java:133)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.server.ServerConnection.routeEndExecuteSQL(ServerConnection.java:273)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.server.ServerConnection.execute(ServerConnection.java:222)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.server.handler.SelectHandler.handle(SelectHandler.java:105)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.server.ServerQueryHandler.query(ServerQueryHandler.java:79)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.net.FrontendConnection.query(FrontendConnection.java:317)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.net.FrontendConnection.query(FrontendConnection.java:337)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.net.handler.FrontendCommandHandler.handle(FrontendCommandHandler.java:71)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.net.FrontendConnection.rawHandle(FrontendConnection.java:478)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.net.FrontendConnection.handle(FrontendConnection.java:460)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.net.AbstractConnection.onReadData(AbstractConnection.java:321)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.net.NIOSocketWR.asynRead(NIOSocketWR.java:190)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.net.AbstractConnection.asynRead(AbstractConnection.java:273)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at io.mycat.net.NIOReactor$RW.run(NIOReactor.java:102)
INFO   | jvm 1    | 2018/03/30 14:33:55 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2018/03/30 14:33:55 |  (io.mycat.server.ServerConnection:ServerConnection.java:281) 
INFO   | jvm 1    | 2018/03/30 14:34:38 | 2018-03-30 14:34:38,185 [WARN ][$_NIOREACTOR-1-RW]  find no Route:SELECT * FROM `ias`.`t_user` LIMIT 0  (io.mycat.route.parser.druid.impl.DruidSelectParser:DruidSelectParser.java:436) 
INFO   | jvm 1    | 2018/03/30 14:34:38 | 2018-03-30 14:34:38,186 [WARN ][$_NIOREACTOR-1-RW] ServerConnection [id=6, schema=ias, host=60.63.136.248, user=mysql,txIsolation=3, autocommit=true, schema=ias]SELECT * FROM `ias`.`t_user` LIMIT 0 err:java.sql.SQLNonTransientException:  find no Route:SELECT * FROM `ias`.`t_user` LIMIT 0 java.sql.SQLNonTransientException:  find no Route:SELECT * FROM `ias`.`t_user` LIMIT 0
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.route.parser.druid.impl.DruidSelectParser.tryRoute(DruidSelectParser.java:437)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.route.parser.druid.impl.DruidSelectParser.changeSql(DruidSelectParser.java:287)
INFO   | jvm 1    | 2018/03/30 14:34:38 | 	at io.mycat.route.parser.druid.impl.DefaultDruidParser.parser(DefaultDruidParser.java:67)
